Date,Job Number,Job Name,Deck Type,Quoted,Tons,Total LH,Cost,Plant Price,Plant Price Ton,Markup LH,salesperson,takeoffPerson,Coordinator,LocationId,DPG_Id
6/23/2016,00-0-0000DM,HALF SUN TRAVEL,BESA16G90,292,48.5776164,1.085380813,200.1154,209.4054,1258.735634,2500,Chris Cline,Customer List,,9,3
1/26/2016,00-0-0048,PAHRUMP,BES20G60,50,4.89956,0.148599009,69.81,89.13,909.5714717,6500,Inside,Inside,CHRIS.CLINE,9,3
1/29/2016,00-0-0049,TEST,2.0CD20UNC/GB,1,0.09151645,0.003494463,71.36,80.09,875.143212,2500,Bill Kennedy,Bill Harper,MIKHAIL.BURASH,9,1
9/14/2015,0000-0000AS,AMY'S TEST JOB,BES20G60,1,0.0979912,0.00297198,69.81,100,1020.4998,2500,Andrea Reynolds,Andrea Reynolds,,9,3
5/3/2016,0000-0016  ,JAIMIE TEST,3.0CFDES20G60,759,76.38890985,2.610077167,89.41,98.01,973.8270928,2500,Chris Cline,Inside,JAIMIE.WALLACE,9,3
5/3/2016,0000-0016  ,JAIMIE TEST,3.0CFDES18G60,35,4.59739875,0.122936424,118.29,127.07,967.3840017,2500,Chris Cline,Inside,JAIMIE.WALLACE,9,3
5/3/2016,0000-0016  ,JAIMIE TEST,BESI20G60/GB,689,69.34381935,2.047694338,100.15,107.58,1068.914587,2500,Chris Cline,Inside,JAIMIE.WALLACE,9,3
5/3/2016,0000-0016  ,JAIMIE TEST,BESI18G60/GB,9,1.18218825,0.028997835,124.36,132.42,1008.113556,2500,Chris Cline,Inside,JAIMIE.WALLACE,9,3
12/18/2015,0000-1010  ,DECK TEST,BES20G60,1000,97.9912,2.971980171,69.81,77.24,788.2340455,2500,Inside,Inside,ANDREA.REYNOLDS,9,3
3/1/2016,0016-0153  ,MAMA LINDA'S BAKERY,BES22G60/GRY,3,0.24366465,0.008508611,75.99,118.54,1459.464883,15000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/19/2015,0115-0003,P09451 SRP PAB,3.0CFDES20G60,671.58,67.59059826,1.995922443,72.02,94.13,935.2754234,7439.53,Inside,Inside,KIM.KLENAKIS,9,3
10/19/2015,0115-0003,P09451 SRP PAB,BESI18G60,191,25.08866175,0.615398495,118.42,148.02,1126.876367,9188.44,Inside,Inside,KIM.KLENAKIS,9,3
10/22/2015,0115-0004,P09048 BANNER HEALTH GREENWAY/TATUM,BESI20GRY,15,1.46857275,0.044256404,71.01,71.01,725.29604,0,Inside,Inside,KIM.KLENAKIS,9,3
10/22/2015,0115-0004,P09048 BANNER HEALTH GREENWAY/TATUM,BESI20G90,143,14.5858856,0.420131034,92.41,92.41,905.9874979,0,Inside,Inside,KIM.KLENAKIS,9,3
10/22/2015,0115-0005,P09361 VA MC DENTAL BLDG,BESI20G60,174,17.5120821,0.51712455,91.36,91.36,907.7527109,0,Inside,Inside,KIM.KLENAKIS,9,3
10/22/2015,0115-0005,P09361 VA MC DENTAL BLDG,BESI20GRY,12,1.1748582,0.035405123,71.01,71.01,725.29604,0,Inside,Inside,KIM.KLENAKIS,9,3
11/4/2015,0115-0006,P08558 COBRE VALLEY REGIONAL MEDICAL CTR,BESI18G60,11.87,1.559174948,0.038244922,118.42,118.42,901.5315454,0,Inside,Inside,KYLE.LARSON,9,3
12/3/2015,0115-0012  ,WELLSPRINGS THERAPY CENTER ESTRELLA,BESI22GRY,427,34.4521534,1.325893425,59.59,84.43,1046.425446,8000,Inside,Inside,HEIDI.MCALEXANDER,9,3
12/3/2015,0115-0013  ,WELSPRINGS THERAPY CENTER,BESI22GRY,329,26.5451018,1.021590016,59.59,84.43,1046.425446,8000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/9/2015,0115-0085  ,JR MCDADE ,BES20G60,12,1.1758944,0.035663762,79.43,103.2,1053.155794,8000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/9/2015,0115-0085  ,JR MCDADE ,1.5CFDES20G60PhT,26,2.5477712,0.077271484,70.2,93.98,959.065712,8000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/22/2015,0115-0110  ,CAMERON RETAIL ,BES22GRY,138,10.8405348,0.388421657,57.68,70.35,895.5554481,4500,Chris Cline,Customer List,STEFANIE.HANKS,9,3
10/2/2015,0115-0138  ,GILBERT SPECTRUM BUILDING ,BES20G30/GRY,689,66.5893696,2.040193892,68.92,88.17,912.2947156,6500,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/6/2015,0115-0150  ,EMBRY RIDDLE AERONAUTICAL CLASSROOM,BES20G60,316,30.9652192,0.939145734,79.43,89.84,916.8170203,3500,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/6/2015,0115-0150  ,EMBRY RIDDLE AERONAUTICAL CLASSROOM,1.5CFDESI20G60,30,3.0193245,0.097874173,79.57,92.62,920.2720675,4000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/6/2015,0115-0150  ,EMBRY RIDDLE AERONAUTICAL CLASSROOM,3.0CFDES20G60/GB,268,26.9726322,0.921608275,95.59,107.62,1069.312027,3500,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/15/2015,0115-0166  ,ASU STUDENT PAVILLION,BESIEL20G60,274,26.8495888,0.814322567,89.15,96.58,985.5987068,2500,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/15/2015,0115-0166  ,ASU STUDENT PAVILLION,3.0CFDES20G60,506,50.9259399,1.503821966,72.02,79.45,789.4149834,2500,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/24/2015,0115-0185  ,ASU SUN DEVILS STADIUM IMPROVEMENTS,3.0CFDES20G90,397,40.4936824,1.351719442,86.75,100.37,984.0273257,4000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/24/2015,0115-0185  ,ASU SUN DEVILS STADIUM IMPROVEMENTS,3.0CFDES18G90,2243,297.6380252,7.771060336,106.75,137.93,1039.440407,9000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/24/2015,0115-0185  ,ASU SUN DEVILS STADIUM IMPROVEMENTS,2.0CFD18G90,50,6.24922,0.173229165,100.8,131.98,1055.971785,9000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/24/2015,0115-0185  ,ASU SUN DEVILS STADIUM IMPROVEMENTS,BES20G90,629,62.46275065,1.847988953,83.79,95.55,962.1886544,4000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/24/2015,0115-0185  ,ASU SUN DEVILS STADIUM IMPROVEMENTS,1.5CFDESI18G90,36,4.7770704,0.124724999,94.24,125.42,945.1650535,9000,Inside,Inside,HEIDI.MCALEXANDER,9,3
9/28/2015,0115-0205  ,GOODYEAR PLICE OPERATIONS BLDG,BESI20G60/GRY,223,22.44364545,0.662751578,92.97,95.95,953.3589384,1000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/1/2015,0115-0207D ,ORD069961 PDI,BESI20GRY,160,15.664776,0.472068308,90.51,93.09,950.8211289,870.5,Inside,Inside,ANDREA.REYNOLDS,9,3
10/2/2015,0115-0210  ,CSI TRANSFER - CORNERSTONE CHURCH,BESI20GRY,64,6.2659104,0.188827323,90.51,96.8,988.7150637,2132.4,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/2/2015,0115-0210  ,CSI TRANSFER - CORNERSTONE CHURCH,3.0CFDES22G60/GB,6,0.5005005,0.018760142,60.63,67.3,806.7924008,2132.4,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/15/2015,0115-0219A ,ORD069962 GILA RIVER HEALTH CARE,BES20G60,100,9.79912,0.297198017,79.43,94.11,960.3923618,4940.28,Inside,Inside,STEFANIE.HANKS,9,3
11/10/2015,0115-0234  ,TICKETFORCE DECK,1.5CFDESI20PhGRY,112,10.9653432,0.330447816,72,95.6,976.4582653,8000,Inside,Inside,HEIDI.MCALEXANDER,9,3
11/10/2015,0115-0234  ,TICKETFORCE DECK,BESI20G60,6,0.6038649,0.017831881,91.36,109.19,1084.911542,6000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/26/2015,0115-0255  ,BROPHY COLLEGE GYMNASIUM EXPANSION,3.0CFDES20G60,293,29.48873595,0.87079019,72.02,82.42,818.9248953,3500,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/26/2015,0115-0255  ,BROPHY COLLEGE GYMNASIUM EXPANSION,NESIA20G60,155,19.4601415,0.983977045,145.01,157.71,1256.159931,2000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/26/2015,0115-0255  ,BROPHY COLLEGE GYMNASIUM EXPANSION,BESI20G60,5,0.50322075,0.014859901,91.36,100.28,996.3818066,3000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/26/2015,0115-0255  ,BROPHY COLLEGE GYMNASIUM EXPANSION,NESI20G60,65,8.1607045,0.335286593,103.81,119.29,950.1446842,3000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/26/2015,0115-0255  ,BROPHY COLLEGE GYMNASIUM EXPANSION,2.0CFD20G60,10,0.940734,0.032624724,74.74,84.53,898.5536826,3000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/27/2015,0115-0258  ,GLADDEN FARMS NEW ELEMENTARY,1.5CFDESI20G60,290,29.1868035,0.946117005,79.57,104.44,1037.715555,7618.5,Inside,Inside,ANDREA.REYNOLDS,9,3
10/27/2015,0115-0258  ,GLADDEN FARMS NEW ELEMENTARY,BESI20GRY,408,39.9451788,1.203774186,71.01,93.5,955.0088683,7618.5,Inside,Inside,ANDREA.REYNOLDS,9,3
10/27/2015,0115-0258  ,GLADDEN FARMS NEW ELEMENTARY,NESIA20GRY,105,12.82520925,0.659775676,131.9,179.77,1471.777156,7618.5,Inside,Inside,ANDREA.REYNOLDS,9,3
10/27/2015,0115-0258  ,GLADDEN FARMS NEW ELEMENTARY,NESI20GRY,65,7.93941525,0.333184682,91.41,130.48,1068.239881,7618.5,Inside,Inside,ANDREA.REYNOLDS,9,3
10/27/2015,0115-0258  ,GLADDEN FARMS NEW ELEMENTARY,BESI18GRY,5,0.64325225,0.016002151,118.22,142.6,1108.429858,7618.5,Inside,Inside,ANDREA.REYNOLDS,9,3
11/18/2015,0115-0260  ,TUCSON AZ NATURAL FOOD MARKET,BES22GRY,153,12.0188538,0.430641402,57.68,78.31,996.8862422,7327.18,Inside,Inside,HEIDI.MCALEXANDER,9,3
9/18/2015,0115-0286  ,PICTURE ROCKS EXPANSION- DECK QUOTE,1.5CD20G60,139,13.5530421,0.443060368,82.14,82.14,842.4278413,0,Inside,Inside,HEIDI.MCALEXANDER,9,1
9/18/2015,0115-0286  ,PICTURE ROCKS EXPANSION- DECK QUOTE,B20GRY,147,13.94422155,0.445058039,73.02,73.02,769.776926,0,Inside,Inside,HEIDI.MCALEXANDER,9,1
9/29/2015,0115-0294  ,GRAND ROAD SHELL,BESI20G60/GB,25,2.51610375,0.074299504,90.99,93.97,933.6856638,1000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/2/2015,0115-0295  ,CHASE CENTERPOINT,2.0CFD20Ph,913,83.55451885,2.958953833,67.78,88.85,970.8637081,6500,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/2/2015,0115-0297  ,**DO NOT USE** ORD071665 UNITED,BESI20G60,45.92,4.621579368,0.136473329,91.36,96.7199,961.0086627,1802.73,Inside,Inside,STEFANIE.HANKS,9,3
10/2/2015,0115-0297  ,**DO NOT USE** ORD071665 UNITED,BESI18G60,9.23,1.212399728,0.029738891,118.42,119.61,910.5910163,371.62,Inside,Inside,STEFANIE.HANKS,9,3
10/2/2015,0115-0297  ,**DO NOT USE** ORD071665 UNITED,1.5CFDESI20G60,9.15,0.920893973,0.029851623,82.57,83.4098,828.7595454,255.9,Inside,Inside,STEFANIE.HANKS,9,3
10/1/2015 12:01:00 AM,0115-0298  ,ORD071665 UNITED,BESI20G60,45.92,4.621579368,0.136473329,91.36,96.7199,961.0086627,1802.73,Inside,Inside,ANDREA.REYNOLDS,9,3
10/1/2015 12:01:00 AM,0115-0298  ,ORD071665 UNITED,BESI18G60,9.23,1.212399728,0.029738891,118.42,119.61,910.5910163,371.62,Inside,Inside,ANDREA.REYNOLDS,9,3
10/1/2015 12:01:00 AM,0115-0298  ,ORD071665 UNITED,1.5CFDESI20G60,9.15,0.920893973,0.029851623,82.57,83.4098,828.7595454,255.9,Inside,Inside,ANDREA.REYNOLDS,9,3
10/2/2015,0115-0299  ,SAN TAN VALLAGE SHOPS A & B,BES20G60,139,13.6207768,0.413105244,80.22,89.13,909.5714717,3000,Inside,Inside,HEIDI.MCALEXANDER,9,3
10/2/2015,0115-0300  ,TEST,BESI20G60/GRY,767,77.19406305,2.279508791,92.97,100.4,997.5741263,2500,Mike Powell ,Koren Ellis,HEIDI.MCALEXANDER,9,3
