Date,Job Number,Job Name,Designer,Checker,Deck Tons,Total Tons,K1 Tons,K2 Tons,L2 Tons,L3 Tons,G2 Tons,G3 Tons,L4 Tons,JS Tons,BR Tons
1/2/2013,5112-0163,INTERFORM ADDITION,AS,DLM,0,9.429860661,0,8.572102427,0,0,0,0,0,0,0.857758233
1/2/2013,5612-0065,OREGON DEPARTMENT OF FISH AND WILDLIFE,RED,AS,0,79.68898144,0,0,3.209459156,71.49164069,0,0.892600954,0,0,4.095280647
1/2/2013,6812-0118,MERIDIAN BUILDING A,AS,DLM,0,4.389065035,0,0.677194536,0,0,0,0,0,0,3.711870499
1/2/2014,5313-0055,KALISPELL III SHOPS,ALS,ALS,0,0.882768709,0,0,0,0,0,0,0,0.056475479,0.82629323
1/2/2014,5313-0055,KALISPELL III SHOPS,ALS,DLM,0,20.95765632,0,16.27208215,0,0,0,3.0138731,1.671701074,0,0
1/2/2014,5813-0114,LYNNWOOD CROSSROADS RETAIL,ALS,DLM,0,0.708508641,0,0,0,0,0,0,0,0,0.708508641
1/2/2014,5813-0114,LYNNWOOD CROSSROADS RETAIL,DLM,ALS,0,1.692239553,0,0,0,0,0,0,1.487169027,0,0.205070525
1/2/2014,5813-0244,PLANT 8 REROOF,ALS,DLM,0,6.444765747,0,4.989439428,0,0,0,0,0,0,1.455326319
1/2/2014,6313-0151,SANDAG,DLM,DLM,0,0.034628127,0,0,0,0,0,0,0,0,0.034628127
1/2/2014,6813-0064,BOISE VAMC,ALS,MM,0,0.598711789,0,0,0,0,0,0.598711789,0,0,0
1/2/2014,9113-0054,MACYS LAS VEGAS,DLM,ALS,0,0.057403767,0,0,0,0,0,0,0,0,0.057403767
1/2/2014,9113-0054,MACYS LAS VEGAS,DLM,SM,0,62.43688758,0,51.45253451,0,0,0,0,0,0,10.98435307
1/2/2015,4314-0184,LINDON & CASMALIA ,RED,MM,0,62.68000424,0,4.71862042,11.76688862,0,0,46.1944952,0,0,0
1/2/2015,4614-0120,CVS # 10360 LIVINGSTON ,MM,MM,0,0.015830833,0,0,0,0,0,0,0,0,0.015830833
1/3/2012,5811-0123,SHORECREST H.S.,TRE,KWV,0,10.6016295,0,0,0,10.6016295,0,0,0,0,0
1/3/2012,5811-0123,SHORECREST H.S.,TRE,TRE,0,0.030772923,0,0,0,0,0,0,0,0,0.030772923
1/3/2013,4611-0165,RALPHS #222,MM,RED,0,70.93397998,0.038133435,63.86234039,0,0,0,0,0,0,7.033506155
1/3/2013,4612-0129,LIVERMORE TOYOTA,MM,DLM,0,2.583082676,0,0,0,0,0,0,2.583082676,0,0
1/3/2013,5112-0285,MAVERIK #474,AS,DLM,0,5.217535928,0,0.148785964,4.433652043,0,0,0,0,0,0.635097921
1/3/2013,6312-0318,PACIFIC STEEL $ RECV #2261079,MM,AS,0,5.454087562,0,5.321804643,0,0,0,0,0,0,0.132282919
1/3/2014,4613-0118,VINTAGE 29,DLM,MM,0,8.070798159,0,1.033079386,4.344684303,0,0,1.913340449,0,0,0.779694021
1/3/2014,5113-0227,MIDVALE MUNICIPAL CENTER ,MM,DLM,0,7.381355882,0,2.500875503,2.948306173,1.475510895,0,0,0,0,0.456663311
1/3/2014,6313-0151,SANDAG,DLM,DLM,0,0.223996714,0,0,0,0,0,0,0,0,0.223996714
1/4/2012,5811-0123,SHORECREST H.S.,TRE,KWV,0,51.55270195,0,0,0,0,0,0,51.55270195,0,0
1/4/2012,5811-0123,SHORECREST H.S.,TRE,TRE,0,5.951435804,0,0,0,0,0,0,0,0,5.951435804
1/4/2012,5811-0178,HEARTLAND PROJECT,RED,RED,0,1.053028598,0.157411769,0.895616829,0,0,0,0,0,0,0
1/4/2012,5811-0178,HEARTLAND PROJECT,TRE,TRE,0,16.02144869,0.163515642,15.85793304,0,0,0,0,0,0,0
1/4/2013,5112-0150,PETERBILT,AS,DLM,0,0.173980266,0,0.173980266,0,0,0,0,0,0,0
1/4/2013,5112-0236,RH FITNESS CENTER,MM,AS,0,3.770789493,0.282292098,0,2.45990324,0,0,0.729245245,0,0,0.299348909
1/4/2016,5115-0341,"ZYTO STEEL								",RD,SM,0,19.50230008,0,11.45916706,0,0,0,6.197918415,0,0,1.845214605
1/4/2016,5315-0046,"BROWNING HS 				",RD,MM,0,16.30517437,0.659264939,0,14.90735188,0,0,0,0,0,0.738557547
1/4/2016,5815-0085,OLD DOMINION FREIGHT TRUCK SHOP,CJT,HZ,0,0.643676609,0,0.48088941,0,0,0,0,0,0,0.162787199
1/5/2012,5811-0187,ENERGY SOLUTIONS,BAH,TRE,0,10.85855073,0,0,3.413060606,6.441189289,0,0,0,0,1.004300833
1/5/2015,4314-0157,MISSION 71 WEST BUSINESS PARK ,SNL,DLM,0,88.42064403,0,2.260777488,35.02100348,0.785341412,0,36.26699489,9.74630332,0,4.340223432
1/5/2015,4314-0184,LINDON & CASMALIA ,RED,MM,0,61.61802685,0,0,4.643787265,3.826193094,0,53.14804649,0,0,0
1/5/2015,4314-0271,BUY BUY BABY- MAJOR 2 ,SM,ALS,0,16.91850756,0,0,9.767173216,0,0,7.151334345,0,0,0
1/5/2015,6314-0340,GAHCHO KUE TRUCKSHOP,SM,DLM,0,56.3315355,0,0,45.08951902,5.680031776,0,0,0,0,5.561984703
1/5/2016,4315-0150D,MEREDITH BLDGS. 2&3,RED,SM,0,162.7991723,0,0,162.7991723,0,0,0,0,0,0
1/5/2016,5115-0213,UTAH VALLEY DISPATCH,ALS,HZ,0,13.33481127,0,0,7.825320244,5.103641033,0,0,0,0,0.405849993
1/5/2016,5115-0341,"ZYTO STEEL								",MM,MM,0,0.309666276,0,0,0.309666276,0,0,0,0,0,0
1/5/2016,5615-0094,PROJECT BUS,ALS,HZ,0,377.4454291,0,0,0,0,0,255.8286781,121.616751,0,0
1/5/2016,9115-0019,"ECLIPSE THEATER								",ALS,DLM,0,31.26389021,0.246685799,12.55789364,13.74264431,0,0,0,0,0,4.71666646
1/5/2016,9115-0069,"AMERICAN PREP ACADEMY								",MM,MM,0,0.513712913,0.053165704,0,0,0,0,0.460547209,0,0,0
1/6/2012,5811-0184,CSMS- ARMY RESERVE (FARWEST),TRE,TRE,0,19.20010033,0,10.42813775,3.220889807,0,0,0,0,0,5.551072776
1/6/2012,6111-0120,7-ELEVEN FREDERICK,TRE,TRE,0,2.613317847,0,2.101683855,0,0,0,0,0,0,0.511633992
1/6/2012,6311-0222,2257056 - MATHEWS HARLEY DAVIDSON,DLM,BAH,0,4.743572637,0,4.743572637,0,0,0,0,0,0,0
1/6/2012,6311-0222,2257056 - MATHEWS HARLEY DAVIDSON,DLM,DLM,0,0.532658372,0,0.235696763,0,0,0,0,0,0,0.296961609
1/6/2014,5113-0133,MOTO ZOO,ALS,RED,0,10.62351602,0,7.328007102,0,0,0,1.737816274,0,0,1.55769264
1/6/2014,5113-0227,MIDVALE MUNICIPAL CENTER ,MM,DLM,0,8.521400133,0,2.056918144,3.883617736,0.414884537,0,0,0,0,2.165979715
1/6/2014,5813-0165,SELAH MS,RED,MM,0,11.1835962,1.095780674,8.040976286,0,2.046839237,0,0,0,0,0
1/6/2014,8213-0073,RIVERSHORE CHRYSLER DEALERSHIP PHASE 1,ALS,DLM,0,2.414351702,0,0,0,2.414351702,0,0,0,0,0
1/6/2015,4314-0184,LINDON & CASMALIA ,RED,MM,0,30.32888985,0,0,0,0,0,30.32888985,0,0,0
1/6/2015,4314-0271,BUY BUY BABY- MAJOR 2 ,SM,ALS,0,6.518609151,0,0,3.175302476,0,0,2.472088516,0,0,0.87121816
1/6/2015,4614-0046,UNFI ,ALS,DLM,0,47.12079751,0,0,0,0,0,47.12079751,0,0,0
1/6/2015,6814-0105,JIMMY JOHN'S #2163 OVERLAND,CDA,DLM,0,1.055304378,0,0.856110573,0,0,0,0,0,0,0.199193805
1/6/2016,0115-0110,CAMERON RETAIL ,CJT,CJT,11.09340668,0,0,0,0,0,0,0,0,0,0
1/6/2016,3815-0213,HORIZON PLAZA,HZ,BCA,0,0,0,0,0,0,0,0,0,0,0
1/6/2016,4315-0150D,MEREDITH BLDGS. 2&3,RED,SM,0,39.37722051,0,0,39.37722051,0,0,0,0,0,0
1/6/2016,5815-0188,COWLITZ CASINO ,CJT,DLM,0,52.49785155,0,0,9.208234847,43.2896167,0,0,0,0,0
1/6/2016,9715-0151,NEW HOMEWOOD SUITES HOTEL,BCA,BCA,2.450968981,0,0,0,0,0,0,0,0,0,0
1/7/2013,4612-0117,FOODS CO #534,RED,AS,0,29.42413515,0,0,0,0,0,29.42413515,0,0,0
1/7/2013,5112-0073A1,DOUG SMITH - DEALERSHIP,DLM,DLM,0,0.112957396,0,0.112957396,0,0,0,0,0,0,0
1/7/2013,5112-0259,THATCHER - BUILDING #5,AS,MM,0,0.501211375,0.333899289,0,0,0,0,0,0,0,0.167312086
1/7/2013,6312-0061,12-5706  FEDEX GROUND,DLM,MM,0,0.410870612,0,0,0,0,0,0,0,0,0.410870612
1/7/2014,4613-0118,VINTAGE 29,DLM,MM,0,4.473757207,0,0,0.911472738,3.56228447,0,0,0,0,0
1/7/2014,5113-0126,WILMINGTON GARDENS,ALS,DLM,0,2.479828455,0,2.350365251,0,0,0,0,0,0,0.129463203
1/7/2014,5113-0126,WILMINGTON GARDENS,ALS,SM,0,16.41087541,0,12.18764947,3.638876975,0,0,0,0,0,0.584348962
1/7/2014,5613-0007,OREGON STATE HOSPITAL,DLM,DLM,0,1.043303013,0,0,0,0,0,0,0,0,1.043303013
1/7/2014,5813-0165,SELAH MS,RED,MM,0,21.30286694,2.01374346,7.532184362,6.575048596,0,0,0,0,0,5.181890517
1/7/2014,7613-0051,AIRPORT CENTER PHASE 3,SM,DLM,0,44.80917001,0,0,0,0,0,44.80917001,0,0,0
1/7/2015,4314-0184,LINDON & CASMALIA ,RED,MM,0,25.44729054,0,0,0,0,0,25.44729054,0,0,0
1/7/2015,4614-0046,UNFI ,ALS,DLM,0,95.45041846,0,41.88199508,44.83640122,0,0,0,0,0,8.732022155
1/7/2016,4315-0150D,MEREDITH BLDGS. 2&3,RED,SM,0,41.65881807,0,0,41.65881807,0,0,0,0,0,0
1/7/2016,5815-0172,CENTRALIA COLLEGE COMMONS NEW STUDENT,MJJ,MJJ,0,0.752090313,0,0,0,0,0,0,0,0,0.752090313
1/7/2016,5815-0172,CENTRALIA COLLEGE COMMONS NEW STUDENT,MJJ,SM,0,12.96312587,0,0,0,12.95403171,0,0,0,0,0.009094162
1/7/2016,5815-0178,RTC AUTOMOTIVE COMPLEX RENOVATION,SM,MM,0,6.070885777,0,0,4.535482317,0,0,0,0,0,1.53540346
1/7/2016,5815-0188,COWLITZ CASINO ,CJT,DLM,0,2.461631835,0,0,0,0,0,0,0,0,2.461631835
1/8/2013,4312-0138,GRIFOLS/BIOMAT PLASMA CENTER,AS,DLM,0,5.478146516,0,3.367935911,0,0,0,0,0,0,2.110210605
1/8/2013,4612-0117,FOODS CO #534,RED,DLM,0,50.84172797,0,50.84172797,0,0,0,0,0,0,0
1/8/2013,5112-0164,WAHLQUIST JR HIGH SCHOOL,DLM,MM,0,1.616937518,0,0,0,0,0,0,0,0,1.616937518
1/8/2014,4613-0143,SANTA CLARA TOWN CENTRE ,DLM,ALS,0,14.74362879,0,8.101450704,0,0,0,5.18682909,0,0,1.455348991
1/8/2014,4613-0166,PETRO STOPPING CENTER ,ALS,DLM,0,0.736199481,0,0.655833602,0,0,0,0,0,0,0.080365879
1/8/2014,5113-0262,HILLCREST JUNIOR HIGH SCHOOL,MM,ALS,0,6.917601989,0,0,0.994277783,5.108597338,0,0,0,0,0.814726868
1/8/2014,6613-0027,GREEN RIVER POLICE,ALS,ALS,0,0.150203064,0,0,0,0,0,0,0,0,0.150203064
1/8/2014,6613-0027,GREEN RIVER POLICE,ALS,DLM,0,3.189922482,0,3.189922482,0,0,0,0,0,0,0
1/8/2014,7613-0051,AIRPORT CENTER PHASE 3,SM,DLM,0,98.51488743,0,0,67.94308823,12.27896494,0,0,0,0,18.29283426
1/8/2015,4314-0157,MISSION 71 WEST BUSINESS PARK ,SNL,DLM,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,4314-0184,LINDON & CASMALIA ,RED,MM,0,31.90069008,0,0,31.90069008,0,0,0,0,0,0
1/8/2015,4314-0210,FRANK TOYOTA REMODEL ,CDA,ALS,0,2.982641614,0,2.530470066,0,0,0,0,0,0,0.452171548
1/8/2015,5614-0023,TOYOTA OF CORVALLIS,BC,BC,0,14.21046633,2.382591903,3.770839095,7.417402267,0.63963306,0,0,0,0,0
1/8/2015,5614-0023,TOYOTA OF CORVALLIS,BC,DLM,0,35.94270127,0,0,28.91151571,3.662336349,0,0,0,0,3.36884921
1/8/2015,5814-0171,WWTP EXPANSION,CDA,SNL,0,0.257522762,0,0.166885167,0,0,0,0,0,0,0.090637594
1/8/2015,6314-0015A1,FEDEX GROUND,MM,MM,0,0.180033501,0,0,0,0,0,0,0,0,0.180033501
